Language,Program,PowerLimit, Package,Core,GPU,DRAM, Time (ms),Temperature,Memory
Go, catalan, -1, 742.116088867187500000, 383.829956054687500000, 0.000854492187500000, 91.963623046875000000, 37715, 34.5, 1740
Go, catalan, -1, 742.365478515625000000, 384.103149414062500000, 0.000976562500000000, 91.876464843750000000, 37670, 35.2, 1744
Go, catalan, -1, 755.010559082031250000, 396.383361816406250000, 0.001037597656250000, 92.015686035156250000, 37637, 35.2, 1740
Go, catalan, -1, 742.825744628906250000, 384.074279785156250000, 0.000976562500000000, 91.461914062500000000, 37514, 36.5, 1776
Go, catalan, -1, 743.101806640625000000, 384.324645996093750000, 0.001037597656250000, 91.413879394531250000, 37493, 36.2, 1748
Go, catalan, -1, 747.248535156250000000, 387.370788574218750000, 0.001098632812500000, 91.888854980468750000, 37669, 36.8, 1776
Go, catalan, -1, 851.821960449218750000, 485.652954101562500000, 0.001098632812500000, 94.300109863281250000, 38084, 37.0, 1748
Go, catalan, -1, 752.951965332031250000, 392.764099121093750000, 0.001037597656250000, 91.817871093750000000, 37577, 37.0, 1744
Go, catalan, -1, 745.688293457031250000, 386.456970214843750000, 0.000000000000000000, 91.800415039062500000, 37647, 37.2, 1748
Go, catalan, -1, 761.133117675781250000, 400.773864746093750000, 0.001037597656250000, 92.398620605468750000, 37784, 38.2, 1776